TIMESTAMP,CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
1704565651910243200,11.8,58.7,1176,720,0,3,0,0,0,0,0,0,0,0,0,0
1704565652927173700,12.1,58.7,1580,755,0,3,0,1,0,0,0,0,0,0,0,0
1704565653948122500,19.8,58.7,1653,736,0,3,0,1,0,0,0,0,0,0,0,0
1704565654970079700,13.9,58.7,1085,686,0,3,0,1,0,0,0,0,0,0,0,0
1704565655986009900,18.3,58.7,984,713,0,3,0,13,0,0,0,0,0,0,0,0
1704565657010444500,12.6,58.7,1073,713,0,3,0,0,1,1,0,0,0,0,0,0
1704565658031385400,25.6,58.8,1491,689,0,1,0,0,0,0,0,0,0,0,0,0
1704565659556809700,16.6,58.8,1545,515,0,2,0,1,0,0,0,0,0,0,0,0
1704565660067306800,20.2,58.7,1401,521,0,3,0,1,0,0,0,0,0,0,0,0
1704565661586203400,16.3,58.7,1232,558,0,2,0,1,0,0,0,0,0,0,0,0
1704565662598136400,12.7,58.7,1608,469,0,2,0,0,0,0,0,0,0,0,0,0
1704565663110110700,15.3,58.7,1466,541,0,0,0,0,0,0,0,0,0,0,0,0
1704565664130044100,15.3,58.8,1614,419,0,2,0,0,0,0,0,0,0,0,0,0
1704565665142971300,11.8,58.7,1480,432,0,1,0,0,0,0,0,0,0,0,0,0
1704565666160441100,11.8,58.7,1609,365,0,1,0,0,0,0,0,0,0,0,0,0
1704565667173391000,12.6,58.7,1600,286,0,2,0,0,0,0,0,0,0,0,0,0
1704565668201332100,12.1,58.7,1470,450,0,0,0,0,0,0,0,0,0,0,0,0
1704565669212264200,13.7,58.8,1320,519,0,2,0,1,0,0,0,0,0,0,0,0
1704565670732155000,10.9,58.7,1341,498,0,1,0,0,0,0,0,0,0,0,0,0
1704565671245124600,12.2,58.7,1350,474,0,0,1,0,0,0,0,0,0,0,0,0
1704565672266099900,13.8,58.7,1172,411,0,0,1,0,0,0,0,0,0,0,0,0
1704565673289042100,14.1,58.7,1344,695,0,0,0,0,0,0,0,0,0,0,0,0
1704565674305978100,14.0,58.7,1419,723,0,0,0,0,0,0,0,0,0,0,0,0
1704565675824371400,14.5,58.7,823,720,0,0,0,0,1,0,0,0,0,0,0,0
1704565676335340000,12.4,58.7,886,730,0,0,0,0,0,0,0,0,0,0,0,0
1704565677349268700,12.2,58.7,1200,802,0,0,0,0,1,0,0,0,0,0,0,0
1704565678369202200,16.0,58.7,1114,726,0,1,0,0,0,0,0,0,0,0,0,0
1704565679900103000,11.8,58.7,1059,762,0,1,0,0,0,0,0,0,0,0,0,0
1704565680411077600,12.8,58.7,1363,703,0,1,0,0,0,0,0,0,0,0,0,0
1704565681425005600,13.2,58.7,1299,845,0,2,0,0,0,0,0,0,0,0,0,0
1704565682441432600,12.0,58.7,1191,516,0,1,0,0,0,0,0,0,0,0,0,0
1704565683460908200,11.9,58.7,1037,729,0,1,0,0,0,0,0,0,0,0,0,0
1704565684476340700,11.9,58.7,1353,610,0,2,0,0,0,0,0,0,0,0,0,0
1704565685490269000,16.1,58.7,1182,528,0,1,0,1,0,0,0,0,0,0,0,0
1704565686504204200,11.7,58.6,1165,532,0,0,2,0,0,0,0,0,0,0,0,0
1704565687519133600,10.6,58.6,1251,466,0,0,0,0,0,0,0,0,0,0,0,0
1704565688543089600,15.5,58.6,1299,335,0,3,0,0,0,0,0,0,0,0,0,0
1704565689562057000,14.4,58.6,1302,606,0,3,0,0,0,0,0,0,0,0,0,0
1704565690585994300,14.3,58.6,1074,468,0,2,0,0,0,0,0,0,0,0,0,0
1704565691608426700,11.3,58.6,1131,602,0,3,0,0,0,0,0,0,0,0,0,0
1704565692628367200,10.8,58.6,1171,517,0,3,0,0,0,0,0,0,0,0,0,0
1704565693650302600,13.0,58.6,1299,535,0,3,0,0,0,0,0,0,0,0,0,0
1704565694670243100,12.6,58.6,1212,561,0,3,0,0,0,0,0,0,0,0,0,0
1704565695690213300,17.2,58.6,1226,614,0,3,0,0,0,0,0,0,0,0,0,0
1704565696710152300,10.2,58.6,1226,642,0,0,0,0,0,0,0,0,0,0,0,0
1704565697734089400,17.0,58.6,1148,696,0,0,0,0,0,0,0,0,0,0,0,0
1704565698752028400,13.1,58.6,720,698,0,0,0,0,0,0,0,0,0,0,0,0
1704565699773963600,11.2,58.5,987,978,0,0,0,0,0,0,0,0,0,0,0,0
1704565700798398500,20.8,58.6,1029,984,0,0,0,0,0,0,0,0,0,0,0,0
1704565701816363500,12.1,58.6,1246,1007,0,0,0,0,0,0,0,0,0,0,0,0
1704565702836296900,12.4,58.6,1288,489,0,1,0,0,0,0,0,0,0,0,0,0
1704565703858232300,13.6,58.6,1004,846,0,1,0,0,0,0,0,0,0,0,0,0
1704565704882176200,10.4,58.6,1111,981,0,1,0,0,0,0,0,0,0,0,0,0
1704565705903117300,16.0,58.6,1061,988,0,0,0,0,0,0,0,0,0,0,0,0
1704565706922063000,10.6,58.6,1154,880,0,0,0,0,0,0,0,0,0,0,0,0
1704565707937018300,12.6,58.6,1152,879,0,0,0,0,0,0,0,0,0,0,0,0
1704565708949441800,11.1,58.6,1179,856,0,0,0,0,0,0,0,0,0,0,0,0
1704565709965383900,10.8,58.6,1179,856,0,0,0,0,0,0,0,0,0,0,0,0
1704565710981319400,17.3,58.6,1179,856,0,0,0,0,0,0,0,0,0,0,0,0
1704565711996254700,12.5,58.6,1370,1083,0,0,0,0,0,0,0,0,0,0,0,0
1704565713008732600,10.9,58.6,1549,1430,1,0,0,0,0,0,0,0,0,0,0,0
1704565714023174800,18.1,58.6,1467,1396,0,0,0,0,0,0,0,0,0,0,0,0
1704565715045110000,11.3,58.6,783,579,0,0,0,0,0,0,0,0,0,0,0,0
1704565716064049000,11.3,58.6,735,635,0,0,0,0,0,0,0,0,0,0,0,0
1704565717083982800,13.1,58.6,722,625,0,2,0,0,0,0,0,0,0,0,0,0
1704565718104413700,13.0,58.6,1177,639,0,0,0,0,0,0,0,0,0,0,0,0
1704565719117375800,21.1,58.6,809,612,0,0,0,0,0,0,0,0,0,0,0,0
