TIMESTAMP,CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl,anomaly
1704586671946558400,13.1,59.8,256,257,0,4,0,0,0,0,0,0,0,0,0,0,0
1704586672962986700,16.4,59.8,521,241,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586673982936700,13.2,59.8,644,317,0,1,0,0,0,0,2,0,0,0,0,0,0
1704586675005866800,12.4,59.8,477,238,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586676028299800,14.4,59.8,690,40,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586677049228200,10.6,59.8,815,307,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586678071157200,12.0,59.8,999,362,0,3,0,0,0,0,2,0,0,0,0,0,0
1704586679095087900,11.8,59.8,1075,491,0,0,0,0,0,0,2,0,0,0,0,0,0
1704586680117024700,15.8,59.8,1314,601,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586681141460200,12.8,59.8,1276,620,1,0,0,0,0,0,0,0,0,0,0,0,0
1704586682160386500,16.5,59.8,1773,640,1,0,0,0,0,0,0,0,0,0,0,0,0
1704586683181329200,13.6,59.8,1863,661,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586684205793200,13.4,59.8,1974,750,1,0,0,0,0,0,0,0,0,0,0,0,0
1704586685230725200,15.4,59.8,2199,1139,1,0,0,0,0,0,0,0,0,0,0,0,0
1704586686251653100,10.9,59.8,2205,1140,0,0,0,0,0,0,0,0,0,1,0,0,0
1704586687274086300,10.9,59.8,2208,1138,0,0,0,0,0,0,0,0,0,15,0,0,0
1704586688297016500,16.9,59.8,2208,1138,0,0,0,0,0,0,0,0,0,15,0,0,0
1704586689317447400,16.3,59.8,2208,1138,0,0,0,0,0,0,0,0,0,15,0,0,0
1704586690339880800,13.1,59.8,2208,1138,0,0,0,0,0,0,0,0,0,15,0,0,0
1704586691355320300,11.7,59.8,2208,1138,0,0,0,0,0,0,0,0,0,3,0,0,0
1704586692371253100,21.0,59.6,2208,1138,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586693390179300,21.4,60.2,2208,1138,1,0,0,0,0,0,0,0,0,0,0,0,0
1704586694411107400,11.4,60.1,2209,1141,0,0,0,0,0,0,0,0,0,3,0,0,0
1704586695433043300,15.4,60.1,2209,1141,0,0,0,0,0,0,0,0,0,16,0,0,0
1704586696455973300,26.0,60.1,2209,1141,0,0,0,0,0,0,0,0,0,16,0,0,0
1704586697476908000,11.8,60.1,2209,1141,0,0,0,0,0,0,0,0,0,16,0,0,0
1704586698499838200,11.6,60.1,1187,815,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586699519788000,13.1,60.1,862,1063,0,1,0,0,0,0,0,0,0,0,0,0,0
1704586700541226000,15.8,60.1,1360,1049,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586701566157400,13.7,60.1,1265,1353,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586702589087500,13.1,60.1,1267,1352,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586703610015500,12.6,60.1,1267,1352,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586704630447000,19.7,59.9,1267,1352,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586705652880000,15.8,59.9,1267,1352,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586706677811300,18.6,59.9,1303,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1704586707700741700,15.3,59.7,1205,206,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586708719681400,21.1,59.7,1171,234,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586709741624000,12.3,59.7,1176,246,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586710764553900,15.5,59.7,1101,297,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586711784985300,10.9,59.7,1367,298,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586712809917400,18.2,59.6,1154,325,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586713830348400,13.8,59.6,1619,489,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586714853278500,12.6,59.6,1547,583,0,0,0,0,0,0,0,0,0,0,0,0,0
1704586715877216600,12.8,59.6,601,1108,0,3,0,0,0,0,0,0,0,0,0,0,0
1704586716897648400,11.3,59.6,725,1252,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586717920098200,12.3,59.6,1356,662,0,2,0,0,0,0,0,0,0,0,0,0,0
1704586718945029900,12.1,59.6,1230,442,0,4,0,1,0,0,0,0,0,0,0,0,0
1704586719965958100,12.4,59.6,1355,617,0,1,0,0,0,0,1,0,0,0,0,0,0
1704586720986886000,12.4,59.6,1550,526,0,0,10,0,0,0,0,0,0,0,0,0,0
1704586722009319000,13.3,59.6,962,403,0,2,0,0,0,0,1,0,0,0,0,0,0
