CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
13.9,65.8,1373,819,0,1,0,0,0,0,1,0,0,0,0,0
16.6,65.8,896,687,0,2,0,0,0,0,0,0,0,0,0,0
20.9,65.8,1655,412,0,1,0,0,0,0,0,0,0,0,0,0
17.8,65.8,1370,209,0,0,0,0,0,0,0,0,0,0,0,0
16.6,65.8,1157,393,0,2,0,0,0,0,0,0,0,0,0,0
14.8,65.8,800,640,0,3,0,1,0,0,1,0,0,0,0,0
14.2,65.8,630,448,0,1,0,0,0,0,1,0,0,0,0,0
13.0,65.8,957,427,0,0,0,0,0,0,0,0,0,0,0,0
15.2,65.8,601,306,0,2,0,0,0,0,0,0,0,0,0,0
17.9,65.8,426,467,0,1,0,0,0,0,0,0,0,0,0,0
13.0,65.8,441,519,0,2,0,0,0,0,0,0,0,0,0,0
18.1,65.8,669,541,0,0,0,0,0,0,1,0,0,0,0,0
12.4,65.8,356,407,0,2,0,0,0,0,0,0,0,0,0,0
11.1,65.8,374,336,0,3,0,0,0,0,0,0,0,0,0,0
16.0,65.8,1405,162,0,0,0,0,0,0,0,0,0,0,0,0
22.3,65.8,1591,788,0,0,0,0,0,0,0,0,0,0,0,0
19.2,65.8,1560,548,0,0,0,0,0,0,0,0,0,0,0,0
11.7,65.9,1371,675,0,0,0,0,0,0,0,0,0,0,0,0
11.2,65.9,1377,664,0,0,0,0,0,0,0,0,0,0,0,0
11.8,65.9,1377,664,0,0,0,0,0,0,0,0,0,0,0,0
15.2,65.9,1495,478,0,0,0,0,0,0,0,0,0,0,0,0
21.1,65.8,1823,421,0,0,0,0,0,0,0,0,0,0,0,0
16.1,65.9,1602,553,0,0,0,0,0,0,0,0,0,0,0,0
13.5,65.9,1817,564,0,0,0,0,0,0,0,0,0,0,0,0
15.3,65.9,1898,675,1,0,0,0,0,0,0,0,0,0,0,0
21.0,65.9,1643,560,0,0,0,0,0,0,0,0,0,0,0,0
22.6,65.9,1589,666,0,0,0,0,0,0,0,0,0,0,0,0
14.5,65.9,1738,398,0,2,0,0,0,0,0,0,0,0,0,0
22.9,65.9,1218,1013,0,1,0,0,0,0,0,0,0,0,0,0
14.8,65.9,1431,0,0,2,0,0,0,0,0,0,0,0,0,0
13.1,65.9,2098,1300,0,1,0,0,0,0,0,0,0,0,0,0
15.5,65.8,1267,566,0,1,0,0,0,0,0,0,0,0,0,0
14.0,65.9,1453,702,0,1,0,0,0,0,0,0,0,0,0,0
