TIMESTAMP,CPU,MEMORY,MOUSE_POSITION,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl
1704412811553530500,13.0,63.0,"(1191, 879)",0,3,0,0,0,0,0,0,0,0,0,0
1704412813080919600,20.7,63.0,"(405, 1189)",0,3,0,0,0,0,0,0,0,0,0,0
1704412813597388900,18.8,62.9,"(480, 1223)",0,2,0,0,0,0,0,0,0,0,0,0
1704412814621823800,16.8,62.9,"(788, 998)",0,3,0,0,0,0,0,0,0,0,0,0
1704412815644754100,13.6,62.9,"(512, 1025)",0,3,0,0,0,0,0,0,0,0,0,0
1704412816668685300,14.8,62.9,"(664, 642)",0,3,0,0,0,0,0,0,0,0,0,0
1704412817688612000,14.5,62.9,"(735, 531)",0,1,0,0,2,0,0,0,0,0,0,0
1704412819222006200,14.1,62.9,"(554, 896)",0,0,0,0,0,0,3,0,0,0,0,0
1704412819734472000,15.1,63.0,"(740, 839)",0,2,0,0,0,0,1,0,0,0,0,0
1704412820756905100,13.6,62.9,"(743, 762)",0,3,0,0,0,0,0,0,0,0,0,0
1704412821779834400,13.2,62.9,"(914, 634)",0,2,0,0,0,0,0,0,0,0,0,0
1704412823311226900,14.6,62.9,"(1218, 575)",0,1,0,0,0,0,0,0,0,0,0,0
1704412823825694700,12.8,62.9,"(1143, 465)",0,0,0,0,0,0,0,0,0,0,0,0
1704412824847126500,14.6,62.9,"(649, 911)",0,0,0,0,0,0,0,0,0,0,0,0
1704412825869056100,14.6,62.9,"(923, 766)",0,0,0,0,0,0,0,0,0,0,0,0
1704412826891985400,13.0,62.9,"(930, 734)",0,0,0,0,0,0,0,0,0,0,0,0
1704412827912913700,13.4,62.9,"(1030, 992)",0,0,0,0,0,0,0,0,0,0,0,0
1704412829442304500,15.3,62.9,"(921, 606)",0,2,0,0,0,0,0,0,0,0,0,0
1704412829958773400,15.2,62.9,"(802, 594)",0,0,0,0,0,0,0,0,0,0,0,0
1704412831487667700,20.9,62.9,"(279, 1439)",0,1,0,0,0,0,1,0,0,0,0,0
